"id","x","y","timestamp"
1,6.776412177928378,8.679763470888426,"2021-12-13 12:08:38.035"
2,6.74341336127538,8.73422129233936,"2021-12-13 12:08:38.106"
3,6.757434727404419,8.739111126648787,"2021-12-13 12:08:38.177"
4,6.59373101688513,8.6504362820748,"2021-12-13 12:08:38.284"
5,6.452643359068556,8.616691097679638,"2021-12-13 12:08:38.356"
6,6.321704734724852,8.56979233846578,"2021-12-13 12:08:38.427"
7,6.368609477675875,8.510364732719054,"2021-12-13 12:08:38.534"
8,6.456108910315075,8.469186367926042,"2021-12-13 12:08:38.606"
9,6.541957496087919,8.399796949031591,"2021-12-13 12:08:38.677"
10,6.481778446385038,8.394803981064788,"2021-12-13 12:08:38.784"
11,6.489029099316031,8.35911225050642,"2021-12-13 12:08:38.855"
12,6.361430373349914,8.377331514795625,"2021-12-13 12:08:38.927"
13,6.358025318639104,8.299709603682485,"2021-12-13 12:08:39.034"
14,6.407179201725833,8.238739678820245,"2021-12-13 12:08:39.106"
15,6.453601367874263,8.171563691130544,"2021-12-13 12:08:39.177"
16,6.487722344323297,8.226709208509662,"2021-12-13 12:08:39.284"
17,6.518301974976158,8.303786366886321,"2021-12-13 12:08:39.356"
18,6.592569063652932,8.394909040868994,"2021-12-13 12:08:39.427"
19,6.66388919308679,8.419599684465588,"2021-12-13 12:08:39.534"
20,6.70244779468297,8.426198468965985,"2021-12-13 12:08:39.605"
21,6.742817532347329,8.436054577835773,"2021-12-13 12:08:39.677"
22,6.7507745254584215,8.469420167039297,"2021-12-13 12:08:39.784"
23,6.7229143477176665,8.51862724819687,"2021-12-13 12:08:39.855"
24,6.759030741474573,8.582208587199297,"2021-12-13 12:08:39.927"
25,6.715728203727734,8.556025611142136,"2021-12-13 12:08:40.034"
26,6.674827790402698,8.519183238577183,"2021-12-13 12:08:40.105"
27,6.646887533096685,8.48869864185908,"2021-12-13 12:08:40.177"
28,6.666188338983421,8.506376777687962,"2021-12-13 12:08:40.284"
29,6.633287121862063,8.57319182526988,"2021-12-13 12:08:40.355"
30,6.63946452944317,8.586739544463256,"2021-12-13 12:08:40.427"
31,6.606912714019772,8.622611304789675,"2021-12-13 12:08:40.534"
32,6.565811882857611,8.617137149287828,"2021-12-13 12:08:40.605"
33,6.583603402688804,8.564005285898011,"2021-12-13 12:08:40.677"
34,6.557515817015593,8.594619436381748,"2021-12-13 12:08:40.784"
35,6.521388531341447,8.624490037090434,"2021-12-13 12:08:40.855"
36,6.5222328988514615,8.630257414262243,"2021-12-13 12:08:40.926"
37,6.499025026735502,8.648101483003053,"2021-12-13 12:08:41.034"
38,6.513676247062199,8.61205984190785,"2021-12-13 12:08:41.105"
39,6.518574756852501,8.563599684407901,"2021-12-13 12:08:41.177"
40,6.516695389617844,8.564588113353402,"2021-12-13 12:08:41.284"
41,6.506858258352865,8.563034645975268,"2021-12-13 12:08:41.355"
42,6.495732811688613,8.559226243523545,"2021-12-13 12:08:41.426"
43,6.477655560849429,8.528094922320093,"2021-12-13 12:08:41.533"
44,6.462783297213347,8.493608259149497,"2021-12-13 12:08:41.605"
45,6.418519921781826,8.47937969154836,"2021-12-13 12:08:41.676"
46,6.3704530402244375,8.527934205210622,"2021-12-13 12:08:41.783"
47,6.3292892719493175,8.568454808577101,"2021-12-13 12:08:41.855"
48,6.324856103776735,8.575170550791,"2021-12-13 12:08:41.926"
49,6.330658644845756,8.575700897274348,"2021-12-13 12:08:42.034"
50,6.344427481787911,8.573411801169666,"2021-12-13 12:08:42.105"
51,6.3296533490887255,8.587241623779475,"2021-12-13 12:08:42.176"
52,6.281944537411654,8.593256630028488,"2021-12-13 12:08:42.283"
53,6.262277954158764,8.590991062930083,"2021-12-13 12:08:42.355"
54,6.24572995435336,8.586828596501286,"2021-12-13 12:08:42.426"
55,6.237495786969794,8.623219280855437,"2021-12-13 12:08:42.533"
56,6.245415780704737,8.639204498011734,"2021-12-13 12:08:42.605"
57,6.248231020617796,8.660889614786104,"2021-12-13 12:08:42.676"
58,6.24303927968378,8.701577965567402,"2021-12-13 12:08:42.783"
59,6.244235919883273,8.746239937187003,"2021-12-13 12:08:42.854"
60,6.297115525397432,8.75498985783665,"2021-12-13 12:08:42.926"
61,6.276030691476301,8.75788480433636,"2021-12-13 12:08:43.033"
62,6.273173894614173,8.743504542940855,"2021-12-13 12:08:43.105"
63,6.270369538113673,8.735363198249349,"2021-12-13 12:08:43.176"
64,6.276709591168569,8.752795431109382,"2021-12-13 12:08:43.283"
65,6.283269982690177,8.773539979022644,"2021-12-13 12:08:43.355"
66,6.289873226602405,8.794783412269211,"2021-12-13 12:08:43.426"
67,6.301516505593744,8.80790633008315,"2021-12-13 12:08:43.533"
68,6.313569713730507,8.801025294158343,"2021-12-13 12:08:43.604"
69,6.322587943527557,8.783033629256106,"2021-12-13 12:08:43.676"
70,6.312195357953353,8.785245514080616,"2021-12-13 12:08:43.783"
71,6.299762075973557,8.801971796329905,"2021-12-13 12:08:43.854"
72,6.27763003438101,8.813201069076321,"2021-12-13 12:08:43.926"
73,6.262677571771654,8.809347048180474,"2021-12-13 12:08:44.033"
74,6.255168473391705,8.786371677466938,"2021-12-13 12:08:44.104"
75,6.209110162980991,8.791223077737055,"2021-12-13 12:08:44.176"
76,6.158416225826569,8.827394376562996,"2021-12-13 12:08:44.283"
77,6.115494526777573,8.861026254867785,"2021-12-13 12:08:44.354"
78,6.07300678048802,8.889577274297212,"2021-12-13 12:08:44.426"
79,6.014451841731818,8.89994476407887,"2021-12-13 12:08:44.533"
